year,month,decimal,average,average_unc,trend,trend_unc
1993,3,1993.208,1735.50,0.99,1735.16,0.46
1993,4,1993.292,1736.71,0.86,1735.29,0.46
1993,5,1993.375,1734.95,0.78,1735.51,0.45
1993,6,1993.458,1730.81,0.88,1735.80,0.45
1993,7,1993.542,1728.04,0.98,1736.16,0.45
1993,8,1993.625,1731.19,0.86,1736.59,0.46
1993,9,1993.708,1738.46,0.86,1737.06,0.47
1993,10,1993.792,1743.35,0.88,1737.58,0.49
1993,11,1993.875,1745.17,0.71,1738.12,0.51
1993,12,1993.958,1744.27,0.93,1738.69,0.53
1994,1,1994.042,1741.43,0.95,1739.28,0.54
1994,2,1994.125,1740.87,1.01,1739.85,0.55
1994,3,1994.208,1741.95,0.85,1740.42,0.56
1994,4,1994.292,1741.96,0.67,1741.03,0.56
1994,5,1994.375,1740.63,0.99,1741.64,0.55
1994,6,1994.458,1736.90,1.27,1742.25,0.55
1994,7,1994.542,1732.43,1.11,1742.87,0.54
1994,8,1994.625,1734.09,1.01,1743.51,0.53
1994,9,1994.708,1742.94,0.76,1744.13,0.53
1994,10,1994.792,1749.84,0.75,1744.75,0.53
1994,11,1994.875,1751.25,0.95,1745.36,0.53
1994,12,1994.958,1751.60,1.00,1745.96,0.54
1995,1,1995.042,1751.13,1.14,1746.53,0.54
1995,2,1995.125,1749.48,1.08,1747.05,0.55
1995,3,1995.208,1748.99,0.70,1747.52,0.55
1995,4,1995.292,1749.45,0.75,1747.97,0.55
1995,5,1995.375,1747.63,1.01,1748.37,0.54
1995,6,1995.458,1742.82,0.99,1748.72,0.53
1995,7,1995.542,1740.18,0.88,1749.02,0.52
1995,8,1995.625,1743.58,1.09,1749.28,0.50
1995,9,1995.708,1749.77,1.11,1749.49,0.49
1995,10,1995.792,1754.35,0.90,1749.68,0.49
1995,11,1995.875,1755.50,0.97,1749.84,0.49
1995,12,1995.958,1753.86,1.02,1750.00,0.51
1996,1,1996.042,1752.24,1.03,1750.15,0.53
1996,2,1996.125,1752.71,1.08,1750.30,0.56
1996,3,1996.208,1752.21,0.92,1750.47,0.59
1996,4,1996.292,1749.60,1.06,1750.65,0.62
1996,5,1996.375,1748.27,1.12,1750.84,0.64
1996,6,1996.458,1746.02,0.94,1751.05,0.66
1996,7,1996.542,1742.05,0.94,1751.27,0.67
1996,8,1996.625,1744.25,1.17,1751.51,0.67
1996,9,1996.708,1752.59,1.23,1751.74,0.66
1996,10,1996.792,1758.87,0.92,1751.97,0.64
1996,11,1996.875,1760.02,0.85,1752.20,0.61
1996,12,1996.958,1756.91,0.77,1752.44,0.58
1997,1,1997.042,1753.39,0.95,1752.68,0.53
1997,2,1997.125,1753.84,1.14,1752.92,0.48
1997,3,1997.208,1755.66,0.87,1753.18,0.44
1997,4,1997.292,1755.54,0.95,1753.48,0.40
1997,5,1997.375,1753.83,0.71,1753.82,0.36
1997,6,1997.458,1750.12,0.87,1754.22,0.34
1997,7,1997.542,1746.14,0.93,1754.69,0.33
1997,8,1997.625,1747.87,0.89,1755.25,0.34
1997,9,1997.708,1755.01,0.87,1755.90,0.36
1997,10,1997.792,1760.25,0.74,1756.64,0.39
1997,11,1997.875,1761.69,0.93,1757.48,0.42
1997,12,1997.958,1761.91,0.79,1758.41,0.45
1998,1,1998.042,1761.45,0.87,1759.45,0.48
1998,2,1998.125,1761.42,1.36,1760.50,0.50
1998,3,1998.208,1762.94,1.47,1761.61,0.52
1998,4,1998.292,1764.72,0.95,1762.78,0.54
1998,5,1998.375,1764.23,0.75,1763.96,0.55
1998,6,1998.458,1760.32,0.70,1765.13,0.56
1998,7,1998.542,1756.17,1.00,1766.26,0.57
1998,8,1998.625,1760.18,0.99,1767.34,0.59
1998,9,1998.708,1770.66,1.42,1768.34,0.60
1998,10,1998.792,1776.24,1.39,1769.23,0.61
1998,11,1998.875,1775.46,0.96,1770.03,0.62
1998,12,1998.958,1774.05,0.76,1770.72,0.62
1999,1,1999.042,1773.85,0.98,1771.32,0.62
1999,2,1999.125,1773.94,1.38,1771.79,0.62
1999,3,1999.208,1774.62,1.11,1772.17,0.61
1999,4,1999.292,1775.03,0.75,1772.48,0.60
1999,5,1999.375,1772.69,0.84,1772.73,0.58
1999,6,1999.458,1767.36,0.79,1772.91,0.57
1999,7,1999.542,1762.98,0.82,1773.06,0.56
1999,8,1999.625,1764.65,0.84,1773.17,0.56
1999,9,1999.708,1771.02,0.83,1773.25,0.57
1999,10,1999.792,1776.65,0.88,1773.31,0.58
1999,11,1999.875,1778.60,0.79,1773.36,0.60
1999,12,1999.958,1777.29,0.77,1773.39,0.62
2000,1,2000.042,1775.70,1.12,1773.41,0.65
2000,2,2000.125,1775.74,1.49,1773.42,0.67
2000,3,2000.208,1776.74,1.46,1773.40,0.68
2000,4,2000.292,1777.34,1.24,1773.35,0.69
2000,5,2000.375,1774.61,1.16,1773.28,0.70
2000,6,2000.458,1768.15,1.11,1773.18,0.70
2000,7,2000.542,1763.54,0.89,1773.05,0.69
2000,8,2000.625,1765.57,1.07,1772.90,0.69
2000,9,2000.708,1772.11,1.10,1772.72,0.68
2000,10,2000.792,1777.14,0.86,1772.52,0.66
2000,11,2000.875,1777.82,0.94,1772.32,0.65
2000,12,2000.958,1775.40,1.22,1772.10,0.64
2001,1,2001.042,1772.89,0.93,1771.89,0.62
2001,2,2001.125,1772.47,0.84,1771.71,0.60
2001,3,2001.208,1773.64,0.94,1771.54,0.59
2001,4,2001.292,1773.88,0.67,1771.38,0.57
2001,5,2001.375,1770.84,0.65,1771.26,0.55
2001,6,2001.458,1766.08,0.87,1771.17,0.53
2001,7,2001.542,1763.00,0.98,1771.11,0.52
2001,8,2001.625,1764.48,0.94,1771.08,0.50
